,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
90,ANDAMAN & NICOBAR ISLANDS,1931,Actual,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8
91,ANDAMAN & NICOBAR ISLANDS,1931,Percentage departure,-48.6,-100.0,-91.7,-96.5,-42.2,-16.5,-27.2,42.6,-31.7,27.2,-90.2,19.2,-19.0,-67.1,-54.0,-9.0,-15.1
92,ANDAMAN & NICOBAR ISLANDS,1931,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
93,ANDAMAN & NICOBAR ISLANDS,1932,Actual,2.8,2.5,10.1,58.2,479.7,,,,,,,,,5.3,548.0,,
94,ANDAMAN & NICOBAR ISLANDS,1932,Percentage departure,-94.3,-90.9,-66.3,-19.4,34.9,,,,,,,,,-93.1,19.7,,
95,ANDAMAN & NICOBAR ISLANDS,1932,No. of districts,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
96,ANDAMAN & NICOBAR ISLANDS,1933,Actual,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5
97,ANDAMAN & NICOBAR ISLANDS,1933,Percentage departure,-90.9,-57.6,-73.0,-19.1,2.8,15.5,-5.3,-26.6,76.0,-17.2,15.4,-62.9,2.6,-78.9,-5.6,16.1,-16.3
98,ANDAMAN & NICOBAR ISLANDS,1933,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
99,ANDAMAN & NICOBAR ISLANDS,1934,Actual,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4
100,ANDAMAN & NICOBAR ISLANDS,1934,Percentage departure,-85.2,527.1,-77.0,82.0,-82.6,50.3,-18.6,130.9,76.5,16.8,3.1,-69.9,27.9,134.6,-56.2,59.8,-7.6
101,ANDAMAN & NICOBAR ISLANDS,1934,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102,ANDAMAN & NICOBAR ISLANDS,1935,Actual,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0,6.6,860.9,1733.3,553.2
103,ANDAMAN & NICOBAR ISLANDS,1935,Percentage departure,-86.6,-100.0,-98.3,85.0,104.4,-20.6,-7.2,2.8,34.2,-37.0,18.2,-37.8,8.3,-91.4,88.1,1.9,-18.1
104,ANDAMAN & NICOBAR ISLANDS,1935,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
105,ANDAMAN & NICOBAR ISLANDS,1936,Actual,16.5,15.3,116.5,,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,,31.8,,2109.8,586.3
106,ANDAMAN & NICOBAR ISLANDS,1936,Percentage departure,-66.5,-44.5,288.7,,-45.4,5.7,67.2,40.5,-11.0,-39.6,-14.5,38.4,,-58.6,,24.1,-13.2
107,ANDAMAN & NICOBAR ISLANDS,1936,No. of districts,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
108,ANDAMAN & NICOBAR ISLANDS,1937,Actual,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5
109,ANDAMAN & NICOBAR ISLANDS,1937,Percentage departure,-56.1,-61.2,-100.0,55.1,-7.1,55.5,13.1,-17.1,-19.0,32.4,8.0,302.8,23.4,-57.9,-3.3,9.6,85.3
110,ANDAMAN & NICOBAR ISLANDS,1937,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
111,ANDAMAN & NICOBAR ISLANDS,1938,Actual,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521.0,1930.6,742.2
112,ANDAMAN & NICOBAR ISLANDS,1938,Percentage departure,-72.8,107.5,68.5,40.7,3.7,41.8,-20.0,-0.9,26.8,10.0,35.7,-29.9,12.1,-8.1,13.8,13.5,9.8
113,ANDAMAN & NICOBAR ISLANDS,1938,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
114,ANDAMAN & NICOBAR ISLANDS,1939,Actual,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1
115,ANDAMAN & NICOBAR ISLANDS,1939,Percentage departure,9.9,-94.6,-46.3,7.1,35.1,14.8,-15.6,-49.4,18.8,-8.8,-28.8,-14.4,-4.4,-27.6,25.4,-6.4,-17.0
116,ANDAMAN & NICOBAR ISLANDS,1939,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
117,ANDAMAN & NICOBAR ISLANDS,1940,Actual,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8,3007.5,3.3,380.1,1970.2,653.9
118,ANDAMAN & NICOBAR ISLANDS,1940,Percentage departure,-99.0,-89.8,98.2,-100.0,-9.8,-28.8,-32.6,122.0,10.7,-60.6,-5.2,107.9,3.3,-95.7,-17.0,15.8,-3.2
119,ANDAMAN & NICOBAR ISLANDS,1940,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
120,ANDAMAN & NICOBAR ISLANDS,1941,Actual,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5,2898.2,12.8,329.7,1627.4,928.3
121,ANDAMAN & NICOBAR ISLANDS,1941,Percentage departure,-100.0,-53.6,-100.0,7.7,-29.2,5.4,-23.9,-22.1,19.6,32.2,14.2,82.3,-0.4,-83.3,-28.0,-4.3,37.4
122,ANDAMAN & NICOBAR ISLANDS,1941,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
123,ANDAMAN & NICOBAR ISLANDS,1942,Actual,39.2,7.4,,,,,,,,,,,,46.6,,,
124,ANDAMAN & NICOBAR ISLANDS,1942,Percentage departure,-20.4,-73.2,,,,,,,,,,,,-39.3,,,
125,ANDAMAN & NICOBAR ISLANDS,1942,No. of districts,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
126,ANDAMAN & NICOBAR ISLANDS,1946,Actual,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8,2791.6,88.0,465.4,1570.6,667.6
127,ANDAMAN & NICOBAR ISLANDS,1946,Percentage departure,71.5,-86.9,-29.6,87.2,-13.1,13.7,-52.5,-8.3,10.9,-4.3,-37.0,59.0,-4.1,14.6,1.7,-7.6,-1.2
128,ANDAMAN & NICOBAR ISLANDS,1946,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
129,ANDAMAN & NICOBAR ISLANDS,1947,Actual,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,,376.0,67.5,168.6,,136.2,397.2,,612.1
130,ANDAMAN & NICOBAR ISLANDS,1947,Percentage departure,-49.0,302.9,110.9,76.9,-42.0,104.9,23.3,-26.7,,29.9,-71.0,10.0,,77.3,-13.2,,-9.4
131,ANDAMAN & NICOBAR ISLANDS,1947,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,
132,ANDAMAN & NICOBAR ISLANDS,1949,Actual,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6,56.4,572.3,2433.2,427.7
133,ANDAMAN & NICOBAR ISLANDS,1949,Percentage departure,-100.0,104.6,-100.0,130.6,14.1,39.7,87.0,0.9,45.5,17.3,-65.2,-95.4,19.9,-26.6,25.0,43.1,-36.7
134,ANDAMAN & NICOBAR ISLANDS,1949,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
135,ANDAMAN & NICOBAR ISLANDS,1950,Actual,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
136,ANDAMAN & NICOBAR ISLANDS,1950,Percentage departure,-98.4,-100.0,-100.0,32.3,-25.7,-21.5,-7.7,-13.3,14.7,-22.4,-61.7,10.5,-16.8,-99.0,-21.4,-7.2,-28.5
137,ANDAMAN & NICOBAR ISLANDS,1950,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
138,ANDAMAN & NICOBAR ISLANDS,1951,Actual,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
139,ANDAMAN & NICOBAR ISLANDS,1951,Percentage departure,68.0,-73.9,-100.0,-37.1,-27.2,31.5,67.4,-74.7,-16.3,68.9,-10.1,183.6,12.5,17.1,-33.5,2.7,67.7
140,ANDAMAN & NICOBAR ISLANDS,1951,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
141,ANDAMAN & NICOBAR ISLANDS,1952,Actual,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562.0,1824.8,692.3
